Condition,Age Group,Dietary Preferences,Remedy Name,Ingredients,Recipe,Dosage,Cautions,Contraindications
Gallstones,Adults,Vegetarian,Dandelion Root Tea,"Dandelion root, water","Boil dandelion root in water, strain","1 cup, once daily",Diarrhea,"Gallbladder issues, pregnancy"
Gallstones,Adults,Vegetarian,Peppermint Tea,"Peppermint leaves, water","Steep peppermint leaves in hot water, strain","1 cup, once daily",Heartburn,"GERD, acid reflux"
Gallstones,Adults,Vegetarian,Milk Thistle Tea,"Milk thistle seeds, water","Steep milk thistle seeds in hot water, strain","1 cup, once daily",None known,None known
Gallstones,Adults,Vegetarian,Turmeric Tea,"Turmeric powder, water","Boil turmeric powder in water, strain","1 cup, once daily",Stomach upset,"Gallstones, pregnancy"
Gallstones,Adults,Vegetarian,Apple Cider Vinegar Drink,"Apple cider vinegar, water",Mix apple cider vinegar in warm water and drink,"1/2 cup, once daily",Tooth enamel erosion,None known
Gallstones,Adults,Vegetarian,Lemon Juice and Olive Oil,"Lemon juice, olive oil",Mix lemon juice with olive oil and drink,"1/2 cup, once daily",Diarrhea,None known
Gallstones,Adults,Vegetarian,Ginger Tea,"Fresh ginger, water","Boil ginger in water, strain","1 cup, once daily",Stomach upset,"Gallstones, GERD"
Gallstones,Adults,Vegetarian,Fennel Tea,"Fennel seeds, water","Steep fennel seeds in hot water, strain","1 cup, once daily",None known,None known
Gallstones,Adults,Vegetarian,Lemon Balm Tea,"Lemon balm leaves, water","Steep lemon balm leaves in hot water, strain","1 cup, once daily",Drowsiness,None known
Gallstones,Seniors,Vegetarian,Dandelion Root Tea,"Dandelion root, water","Boil dandelion root in water, strain","1/2 cup, once daily",Diarrhea,"Gallbladder issues, pregnancy"
Gallstones,Seniors,Vegetarian,Peppermint Tea,"Peppermint leaves, water","Steep peppermint leaves in hot water, strain","1/2 cup, once daily",Heartburn,"GERD, acid reflux"
Gallstones,Seniors,Vegetarian,Milk Thistle Tea,"Milk thistle seeds, water","Steep milk thistle seeds in hot water, strain","1/2 cup, once daily",None known,None known
Gallstones,Seniors,Vegetarian,Turmeric Tea,"Turmeric powder, water","Boil turmeric powder in water, strain","1/2 cup, once daily",Stomach upset,"Gallstones, pregnancy"
Gallstones,Seniors,Vegetarian,Apple Cider Vinegar Drink,"Apple cider vinegar, water",Mix apple cider vinegar in warm water and drink,"1/2 cup, once daily",Tooth enamel erosion,None known
Gallstones,Seniors,Vegetarian,Lemon Juice and Olive Oil,"Lemon juice, olive oil",Mix lemon juice with olive oil and drink,"1/2 cup, once daily",Diarrhea,None known
Parasites,Children,Vegetarian,Wormwood Tea,"Wormwood leaves, water","Steep wormwood leaves in hot water, strain","1/2 cup, once daily","Nausea, vomiting","Pregnancy, children under 2"
Parasites,Children,Vegetarian,Garlic and Honey Mixture,"Garlic, honey","Crush garlic, mix with honey, take mixture","1 tsp, once daily","Bad breath, upset stomach",None known
Parasites,Children,Vegetarian,Papaya Seed Tea,"Papaya seeds, water","Boil papaya seeds in water, strain","1/2 cup, once daily",Stomach upset,None known
Parasites,Children,Vegetarian,Clove Tea,"Clove buds, water","Boil clove buds in water, strain","1/2 cup, once daily","Nausea, dizziness","Pregnancy, breastfeeding"
Parasites,Children,Vegetarian,Pumpkin Seed Tea,"Pumpkin seeds, water","Boil pumpkin seeds in water, strain","1/2 cup, once daily","Nausea, diarrhea",None known
Parasites,Children,Vegetarian,Ginger Tea,"Fresh ginger, water","Boil ginger in water, strain","1/2 cup, once daily",Stomach upset,None known
Parasites,Children,Vegetarian,Turmeric Tea,"Turmeric powder, water","Boil turmeric powder in water, strain","1/2 cup, once daily",Stomach upset,None known
Parasites,Children,Vegetarian,Black Walnut Tea,"Black walnut hulls, water","Steep black walnut hulls in hot water, strain","1/2 cup, once daily","Diarrhea, nausea","Pregnancy, breastfeeding"
Parasites,Children,Vegetarian,Cayenne Pepper Tea,"Cayenne pepper, water","Mix cayenne pepper in warm water, drink","1/2 cup, once daily","Stomach irritation, heartburn","Pregnancy, ulcers, heart conditions"
Parasites,Children,Vegetarian,Oregano Tea,"Oregano leaves, water","Steep oregano leaves in hot water, strain","1/2 cup, once daily","Nausea, stomach upset",None known
Parasites,Adults,Vegetarian,Wormwood Tea,"Wormwood leaves, water","Steep wormwood leaves in hot water, strain","1 cup, once daily","Nausea, vomiting","Pregnancy, children under 2"
Parasites,Adults,Vegetarian,Garlic and Honey Mixture,"Garlic, honey","Crush garlic, mix with honey, take mixture","1 tsp, once daily","Bad breath, upset stomach",None known
Parasites,Adults,Vegetarian,Papaya Seed Tea,"Papaya seeds, water","Boil papaya seeds in water, strain","1 cup, once daily",Stomach upset,None known
Parasites,Adults,Vegetarian,Clove Tea,"Clove buds, water","Boil clove buds in water, strain","1 cup, once daily","Nausea, dizziness","Pregnancy, breastfeeding"
Parasites,Adults,Vegetarian,Pumpkin Seed Tea,"Pumpkin seeds, water","Boil pumpkin seeds in water, strain","1 cup, once daily","Nausea, diarrhea",None known
Parasites,Adults,Vegetarian,Ginger Tea,"Fresh ginger, water","Boil ginger in water, strain","1 cup, once daily",Stomach upset,None known
Parasites,Adults,Vegetarian,Turmeric Tea,"Turmeric powder, water","Boil turmeric powder in water, strain","1 cup, once daily",Stomach upset,None known
Parasites,Adults,Vegetarian,Black Walnut Tea,"Black walnut hulls, water","Steep black walnut hulls in hot water, strain","1 cup, once daily","Diarrhea, nausea","Pregnancy, breastfeeding"
Parasites,Adults,Vegetarian,Oregano Tea,"Oregano leaves, water","Steep oregano leaves in hot water, strain","1 cup, once daily","Nausea, stomach upset",None known
Parasites,Seniors,Vegetarian,Wormwood Tea,"Wormwood leaves, water","Steep wormwood leaves in hot water, strain","1/2 cup, once daily","Nausea, vomiting","Pregnancy, children under 2"
Parasites,Seniors,Vegetarian,Garlic and Honey Mixture,"Garlic, honey","Crush garlic, mix with honey, take mixture","1 tsp, once daily","Bad breath, upset stomach",None known
Parasites,Seniors,Vegetarian,Papaya Seed Tea,"Papaya seeds, water","Boil papaya seeds in water, strain","1/2 cup, once daily",Stomach upset,None known
Parasites,Seniors,Vegetarian,Clove Tea,"Clove buds, water","Boil clove buds in water, strain","1/2 cup, once daily","Nausea, dizziness","Pregnancy, breastfeeding"
Parasites,Seniors,Vegetarian,Pumpkin Seed Tea,"Pumpkin seeds, water","Boil pumpkin seeds in water, strain","1/2 cup, once daily","Nausea, diarrhea",None known
Parasites,Seniors,Vegetarian,Ginger Tea,"Fresh ginger, water","Boil ginger in water, strain","1/2 cup, once daily",Stomach upset,None known
Parasites,Seniors,Vegetarian,Turmeric Tea,"Turmeric powder, water","Boil turmeric powder in water, strain","1/2 cup, once daily",Stomach upset,None known
Parasites,Seniors,Vegetarian,Black Walnut Tea,"Black walnut hulls, water","Steep black walnut hulls in hot water, strain","1/2 cup, once daily","Diarrhea, nausea","Pregnancy, breastfeeding"
Parasites,Seniors,Vegetarian,Oregano Tea,"Oregano leaves, water","Steep oregano leaves in hot water, strain","1/2 cup, once daily","Nausea, stomach upset",None known
AIDS,Children,Vegetarian,Echinacea Tea,"Echinacea root, water","Boil Echinacea root in water, strain","1/2 cup, once daily","Nausea, upset stomach","Pregnancy, autoimmune disorders"
AIDS,Children,Vegetarian,Ginger Tea,"Fresh ginger, water, honey","Boil ginger in water, strain, add honey","1/2 cup, once daily",Stomach upset,Blood-thinning medications
AIDS,Children,Vegetarian,Elderberry Syrup,"Elderberry, honey, water","Simmer elderberries in water, strain, mix with honey","1 tsp, twice daily","Diarrhea, upset stomach",None known
AIDS,Children,Vegetarian,Astragalus Tea,"Astragalus root, water","Steep Astragalus root in hot water, strain","1/2 cup, once daily","Drowsiness, upset stomach",Autoimmune disorders
AIDS,Children,Vegetarian,Licorice Root Tea,"Licorice root, water","Boil licorice root in water, strain","1/2 cup, once daily","High blood pressure, headaches","Hypertension, pregnancy"
AIDS,Children,Vegetarian,Turmeric Milk,"Turmeric powder, milk","Boil turmeric powder in milk, strain","1/2 cup, once daily",Stomach upset,None known
AIDS,Children,Vegetarian,Olive Leaf Tea,"Olive leaves, water","Steep olive leaves in hot water, strain","1/2 cup, once daily",Mild dizziness,None known
AIDS,Children,Vegetarian,Lemon Balm Tea,"Lemon balm leaves, water","Steep lemon balm leaves in hot water, strain","1/2 cup, once daily",Mild sedation,"Pregnancy, breastfeeding"
AIDS,Children,Vegetarian,Cat's Claw Tea,"Cat's claw bark, water","Boil cat's claw bark in water, strain","1/2 cup, once daily",Stomach upset,Autoimmune disorders
AIDS,Children,Vegetarian,Reishi Mushroom Tea,"Reishi mushroom, water","Steep reishi mushroom in hot water, strain","1/2 cup, once daily",Stomach upset,Immunosuppressants
AIDS,Adults,Vegetarian,Echinacea Tea,"Echinacea root, water","Boil Echinacea root in water, strain","1 cup, once daily","Nausea, upset stomach","Pregnancy, autoimmune disorders"
AIDS,Adults,Vegetarian,Ginger Tea,"Fresh ginger, water, honey","Boil ginger in water, strain, add honey","1 cup, once daily",Stomach upset,Blood-thinning medications
AIDS,Adults,Vegetarian,Elderberry Syrup,"Elderberry, honey, water","Simmer elderberries in water, strain, mix with honey","1 tbsp, twice daily","Diarrhea, upset stomach",None known
AIDS,Adults,Vegetarian,Astragalus Tea,"Astragalus root, water","Steep Astragalus root in hot water, strain","1 cup, once daily","Drowsiness, upset stomach",Autoimmune disorders
AIDS,Adults,Vegetarian,Licorice Root Tea,"Licorice root, water","Boil licorice root in water, strain","1 cup, once daily","High blood pressure, headaches","Hypertension, pregnancy"
AIDS,Adults,Vegetarian,Turmeric Milk,"Turmeric powder, milk","Boil turmeric powder in milk, strain","1 cup, once daily",Stomach upset,None known
AIDS,Adults,Vegetarian,Olive Leaf Tea,"Olive leaves, water","Steep olive leaves in hot water, strain","1 cup, once daily",Mild dizziness,None known
AIDS,Adults,Vegetarian,Lemon Balm Tea,"Lemon balm leaves, water","Steep lemon balm leaves in hot water, strain","1 cup, once daily",Mild sedation,"Pregnancy, breastfeeding"
AIDS,Adults,Vegetarian,Cat's Claw Tea,"Cat's claw bark, water","Boil cat's claw bark in water, strain","1 cup, once daily",Stomach upset,Autoimmune disorders
AIDS,Adults,Vegetarian,Reishi Mushroom Tea,"Reishi mushroom, water","Steep reishi mushroom in hot water, strain","1 cup, once daily",Stomach upset,Immunosuppressants
AIDS,Seniors,Vegetarian,Echinacea Tea,"Echinacea root, water","Boil Echinacea root in water, strain","1/2 cup, once daily","Nausea, upset stomach","Pregnancy, autoimmune disorders"
AIDS,Seniors,Vegetarian,Ginger Tea,"Fresh ginger, water, honey","Boil ginger in water, strain, add honey","1/2 cup, once daily",Stomach upset,Blood-thinning medications
AIDS,Seniors,Vegetarian,Elderberry Syrup,"Elderberry, honey, water","Simmer elderberries in water, strain, mix with honey","1 tsp, twice daily","Diarrhea, upset stomach",None known
AIDS,Seniors,Vegetarian,Astragalus Tea,"Astragalus root, water","Steep Astragalus root in hot water, strain","1/2 cup, once daily","Drowsiness, upset stomach",Autoimmune disorders
AIDS,Seniors,Vegetarian,Licorice Root Tea,"Licorice root, water","Boil licorice root in water, strain","1/2 cup, once daily","High blood pressure, headaches","Hypertension, pregnancy"
AIDS,Seniors,Vegetarian,Turmeric Milk,"Turmeric powder, milk","Boil turmeric powder in milk, strain","1/2 cup, once daily",Stomach upset,None known
AIDS,Seniors,Vegetarian,Olive Leaf Tea,"Olive leaves, water","Steep olive leaves in hot water, strain","1/2 cup, once daily",Mild dizziness,None known
AIDS,Seniors,Vegetarian,Lemon Balm Tea,"Lemon balm leaves, water","Steep lemon balm leaves in hot water, strain","1/2 cup, once daily",Mild sedation,"Pregnancy, breastfeeding"
AIDS,Seniors,Vegetarian,Cat's Claw Tea,"Cat's claw bark, water","Boil cat's claw bark in water, strain","1/2 cup, once daily",Stomach upset,Autoimmune disorders
AIDS,Seniors,Vegetarian,Reishi Mushroom Tea,"Reishi mushroom, water","Steep reishi mushroom in hot water, strain","1/2 cup, once daily",Stomach upset,Immunosuppressants
Neuralgia,Children,Vegetarian,St. John’s Wort Tea,"St. John’s Wort leaves, water","Steep St. John’s Wort leaves in hot water, strain","1/2 cup, once daily","Dry mouth, dizziness","Pregnancy, depression medications"
Neuralgia,Children,Vegetarian,Lavender Oil Massage,Lavender oil,Massage affected area with diluted lavender oil,As needed,"Skin irritation, headache","Sensitive skin, pregnancy"
Neuralgia,Children,Vegetarian,Ginger Tea,"Fresh ginger, water, honey","Boil ginger in water, strain, add honey","1/2 cup, once daily","Stomach upset, heartburn",Blood-thinning medications
Neuralgia,Children,Vegetarian,Chamomile Tea,"Chamomile flowers, water","Steep chamomile flowers in warm water, strain","1/2 cup, once daily","Drowsiness, nausea",Allergy to ragweed
Neuralgia,Children,Vegetarian,Peppermint Tea,"Fresh peppermint leaves, water","Steep peppermint leaves in hot water, strain","1/2 cup, once daily","Heartburn, stomach upset","GERD, acid reflux"
Neuralgia,Children,Vegetarian,Valerian Root Tea,"Valerian root, water","Steep valerian root in hot water, strain","1/2 cup, once daily","Drowsiness, dizziness","Pregnancy, sedatives"
Neuralgia,Children,Vegetarian,Turmeric Milk,"Turmeric powder, milk","Boil turmeric powder in milk, strain","1/2 cup, once daily",Stomach upset,None known
Neuralgia,Children,Vegetarian,Ashwagandha Tea,"Ashwagandha root, water","Steep ashwagandha root in hot water, strain","1/2 cup, once daily","Mild sedation, upset stomach","Pregnancy, autoimmune disorders"
Neuralgia,Children,Vegetarian,Lemon Balm Tea,"Lemon balm leaves, water","Steep lemon balm leaves in hot water, strain","1/2 cup, once daily",Mild sedation,"Pregnancy, breastfeeding"
Neuralgia,Children,Vegetarian,Clove Oil Massage,"Clove oil, coconut oil",Massage affected area with diluted clove oil,As needed,"Skin irritation, headache","Sensitive skin, pregnancy"
Neuralgia,Adults,Vegetarian,St. John’s Wort Tea,"St. John’s Wort leaves, water","Steep St. John’s Wort leaves in hot water, strain","1 cup, once daily","Dry mouth, dizziness","Pregnancy, depression medications"
Neuralgia,Adults,Vegetarian,Lavender Oil Massage,Lavender oil,Massage affected area with diluted lavender oil,As needed,"Skin irritation, headache","Sensitive skin, pregnancy"
Neuralgia,Adults,Vegetarian,Ginger Tea,"Fresh ginger, water, honey","Boil ginger in water, strain, add honey","1 cup, once daily","Stomach upset, heartburn",Blood-thinning medications
Neuralgia,Adults,Vegetarian,Chamomile Tea,"Chamomile flowers, water","Steep chamomile flowers in warm water, strain","1 cup, once daily","Drowsiness, nausea",Allergy to ragweed
Neuralgia,Adults,Vegetarian,Peppermint Oil Rub,Peppermint oil,Apply diluted peppermint oil to affected area,As needed,"Skin irritation, headache","Open wounds, GERD, acid reflux"
Neuralgia,Adults,Vegetarian,Valerian Root Tea,"Valerian root, water","Steep valerian root in hot water, strain","1 cup, once daily","Drowsiness, dizziness","Pregnancy, sedatives"
Neuralgia,Adults,Vegetarian,Turmeric Milk,"Turmeric powder, milk","Boil turmeric powder in milk, strain","1 cup, once daily",Stomach upset,None known
Neuralgia,Adults,Vegetarian,Ashwagandha Tea,"Ashwagandha root, water","Steep ashwagandha root in hot water, strain","1 cup, once daily","Mild sedation, upset stomach","Pregnancy, autoimmune disorders"
Neuralgia,Adults,Vegetarian,Lemon Balm Tea,"Lemon balm leaves, water","Steep lemon balm leaves in hot water, strain","1 cup, once daily",Mild sedation,"Pregnancy, breastfeeding"
Neuralgia,Adults,Vegetarian,Clove Oil Massage,"Clove oil, coconut oil",Massage affected area with diluted clove oil,As needed,"Skin irritation, headache","Sensitive skin, pregnancy"
Neuralgia,Seniors,Vegetarian,St. John’s Wort Tea,"St. John’s Wort leaves, water","Steep St. John’s Wort leaves in hot water, strain","1/2 cup, once daily","Dry mouth, dizziness","Pregnancy, depression medications"
Neuralgia,Seniors,Vegetarian,Lavender Oil Massage,Lavender oil,Massage affected area with diluted lavender oil,As needed,"Skin irritation, headache","Sensitive skin, pregnancy"
Neuralgia,Seniors,Vegetarian,Ginger Tea,"Fresh ginger, water, honey","Boil ginger in water, strain, add honey","1/2 cup, once daily","Stomach upset, heartburn",Blood-thinning medications
Neuralgia,Seniors,Vegetarian,Chamomile Tea,"Chamomile flowers, water","Steep chamomile flowers in warm water, strain","1/2 cup, once daily","Drowsiness, nausea",Allergy to ragweed
Neuralgia,Seniors,Vegetarian,Peppermint Tea,"Fresh peppermint leaves, water","Steep peppermint leaves in hot water, strain","1/2 cup, once daily","Heartburn, stomach upset","GERD, acid reflux"
Neuralgia,Seniors,Vegetarian,Valerian Root Tea,"Valerian root, water","Steep valerian root in hot water, strain","1/2 cup, once daily","Drowsiness, dizziness","Pregnancy, sedatives"
Neuralgia,Seniors,Vegetarian,Turmeric Milk,"Turmeric powder, milk","Boil turmeric powder in milk, strain","1/2 cup, once daily",Stomach upset,None known
Neuralgia,Seniors,Vegetarian,Ashwagandha Tea,"Ashwagandha root, water","Steep ashwagandha root in hot water, strain","1/2 cup, once daily","Mild sedation, upset stomach","Pregnancy, autoimmune disorders"
Neuralgia,Seniors,Vegetarian,Lemon Balm Tea,"Lemon balm leaves, water","Steep lemon balm leaves in hot water, strain","1/2 cup, once daily",Mild sedation,"Pregnancy, breastfeeding"
Neuralgia,Seniors,Vegetarian,Clove Oil Massage,"Clove oil, coconut oil",Massage affected area with diluted clove oil,As needed,"Skin irritation, headache","Sensitive skin, pregnancy"
Sciatica,Children,Vegetarian,St. John’s Wort Tea,"St. John’s Wort leaves, water","Steep St. John’s Wort leaves in hot water, strain","1/2 cup, once daily","Dry mouth, dizziness","Pregnancy, depression medications"
Sciatica,Children,Vegetarian,Lavender Oil Massage,Lavender oil,Massage affected area with diluted lavender oil,As needed,"Skin irritation, headache","Sensitive skin, pregnancy"
Sciatica,Children,Vegetarian,Ginger Tea,"Fresh ginger, water, honey","Boil ginger in water, strain, add honey","1/2 cup, once daily","Stomach upset, heartburn",Blood-thinning medications
Sciatica,Children,Vegetarian,Eucalyptus Oil Massage,Eucalyptus oil,Massage affected area with diluted eucalyptus oil,As needed,"Skin irritation, dizziness","Sensitive skin, pregnancy"
Sciatica,Children,Vegetarian,Peppermint Tea,"Fresh peppermint leaves, water","Steep peppermint leaves in hot water, strain","1/2 cup, once daily","Heartburn, stomach upset","GERD, acid reflux"
Sciatica,Children,Vegetarian,Valerian Root Tea,"Valerian root, water","Steep valerian root in hot water, strain","1/2 cup, once daily","Drowsiness, dizziness","Pregnancy, sedatives"
Sciatica,Children,Vegetarian,Turmeric Milk,"Turmeric powder, milk","Boil turmeric powder in milk, strain","1/2 cup, once daily",Stomach upset,None known
Sciatica,Children,Vegetarian,Ashwagandha Tea,"Ashwagandha root, water","Steep ashwagandha root in hot water, strain","1/2 cup, once daily","Mild sedation, upset stomach","Pregnancy, autoimmune disorders"
Sciatica,Children,Vegetarian,Lemon Balm Tea,"Lemon balm leaves, water","Steep lemon balm leaves in hot water, strain","1/2 cup, once daily",Mild sedation,"Pregnancy, breastfeeding"
Sciatica,Children,Vegetarian,Clove Oil Massage,"Clove oil, coconut oil",Massage affected area with diluted clove oil,As needed,"Skin irritation, headache","Sensitive skin, pregnancy"
Sciatica,Adults,Vegetarian,St. John’s Wort Tea,"St. John’s Wort leaves, water","Steep St. John’s Wort leaves in hot water, strain","1 cup, once daily","Dry mouth, dizziness","Pregnancy, depression medications"
Sciatica,Adults,Vegetarian,Lavender Oil Massage,Lavender oil,Massage affected area with diluted lavender oil,As needed,"Skin irritation, headache","Sensitive skin, pregnancy"
Sciatica,Adults,Vegetarian,Ginger Tea,"Fresh ginger, water, honey","Boil ginger in water, strain, add honey","1 cup, once daily","Stomach upset, heartburn",Blood-thinning medications
Sciatica,Adults,Vegetarian,Eucalyptus Oil Massage,Eucalyptus oil,Massage affected area with diluted eucalyptus oil,As needed,"Skin irritation, dizziness","Sensitive skin, pregnancy"
Sciatica,Adults,Vegetarian,Peppermint Oil Rub,Peppermint oil,Apply diluted peppermint oil to affected area,As needed,"Skin irritation, headache","Open wounds, GERD, acid reflux"
Sciatica,Adults,Vegetarian,Valerian Root Tea,"Valerian root, water","Steep valerian root in hot water, strain","1 cup, once daily","Drowsiness, dizziness","Pregnancy, sedatives"
Sciatica,Adults,Vegetarian,Turmeric Milk,"Turmeric powder, milk","Boil turmeric powder in milk, strain","1 cup, once daily",Stomach upset,None known
Sciatica,Adults,Vegetarian,Ashwagandha Tea,"Ashwagandha root, water","Steep ashwagandha root in hot water, strain","1 cup, once daily","Mild sedation, upset stomach","Pregnancy, autoimmune disorders"
Sciatica,Adults,Vegetarian,Lemon Balm Tea,"Lemon balm leaves, water","Steep lemon balm leaves in hot water, strain","1 cup, once daily",Mild sedation,"Pregnancy, breastfeeding"
Sciatica,Adults,Vegetarian,Clove Oil Massage,"Clove oil, coconut oil",Massage affected area with diluted clove oil,As needed,"Skin irritation, headache","Sensitive skin, pregnancy"
Sciatica,Seniors,Vegetarian,St. John’s Wort Tea,"St. John’s Wort leaves, water","Steep St. John’s Wort leaves in hot water, strain","1/2 cup, once daily","Dry mouth, dizziness","Pregnancy, depression medications"
Sciatica,Seniors,Vegetarian,Lavender Oil Massage,Lavender oil,Massage affected area with diluted lavender oil,As needed,"Skin irritation, headache","Sensitive skin, pregnancy"
Sciatica,Seniors,Vegetarian,Ginger Tea,"Fresh ginger, water, honey","Boil ginger in water, strain, add honey","1/2 cup, once daily","Stomach upset, heartburn",Blood-thinning medications
Sciatica,Seniors,Vegetarian,Eucalyptus Oil Massage,Eucalyptus oil,Massage affected area with diluted eucalyptus oil,As needed,"Skin irritation, dizziness","Sensitive skin, pregnancy"
Sciatica,Seniors,Vegetarian,Peppermint Tea,"Fresh peppermint leaves, water","Steep peppermint leaves in hot water, strain","1/2 cup, once daily","Heartburn, stomach upset","GERD, acid reflux"
Sciatica,Seniors,Vegetarian,Valerian Root Tea,"Valerian root, water","Steep valerian root in hot water, strain","1/2 cup, once daily","Drowsiness, dizziness","Pregnancy, sedatives"
Sciatica,Seniors,Vegetarian,Turmeric Milk,"Turmeric powder, milk","Boil turmeric powder in milk, strain","1/2 cup, once daily",Stomach upset,None known
Sciatica,Seniors,Vegetarian,Ashwagandha Tea,"Ashwagandha root, water","Steep ashwagandha root in hot water, strain","1/2 cup, once daily","Mild sedation, upset stomach","Pregnancy, autoimmune disorders"
Sciatica,Seniors,Vegetarian,Lemon Balm Tea,"Lemon balm leaves, water","Steep lemon balm leaves in hot water, strain","1/2 cup, once daily",Mild sedation,"Pregnancy, breastfeeding"
Sciatica,Seniors,Vegetarian,Clove Oil Massage,"Clove oil, coconut oil",Massage affected area with diluted clove oil,As needed,"Skin irritation, headache","Sensitive skin, pregnancy"
Catarrh,Children,Vegetarian,Eucalyptus Steam Inhalation,"Eucalyptus oil, hot water","Add a few drops of eucalyptus oil to hot water, inhale the steam","5 minutes, as needed","Skin irritation, dizziness","Sensitive skin, asthma, under 2 years old"
Catarrh,Children,Vegetarian,Peppermint Tea,"Fresh peppermint leaves, water","Steep peppermint leaves in hot water, strain","1/2 cup, once daily","Heartburn, stomach upset","GERD, acid reflux"
Catarrh,Children,Vegetarian,Ginger Tea,"Fresh ginger, water, honey","Boil ginger in water, strain, add honey","1/2 cup, once daily","Stomach upset, heartburn",Blood-thinning medications
Catarrh,Children,Vegetarian,Honey and Lemon,"Honey, lemon juice, warm water",Mix honey and lemon juice in warm water,"1/2 cup, once daily",None,Allergies to honey or citrus
Catarrh,Children,Vegetarian,Chamomile Tea,"Chamomile flowers, water","Steep chamomile flowers in hot water, strain","1/2 cup, once daily","Drowsiness, nausea",Ragweed allergy
Catarrh,Children,Vegetarian,Thyme Tea,"Fresh thyme, water","Steep thyme in hot water, strain","1/2 cup, once daily",Mild sedation,None known
Catarrh,Children,Vegetarian,Marshmallow Root Tea,"Marshmallow root, water","Steep marshmallow root in hot water, strain","1/2 cup, once daily",Mild sedation,None known
Catarrh,Children,Vegetarian,Licorice Root Tea,"Licorice root, water","Steep licorice root in hot water, strain","1/2 cup, once daily","High blood pressure, edema","Pregnancy, hypertension"
Catarrh,Children,Vegetarian,Lemon Balm Tea,"Lemon balm leaves, water","Steep lemon balm leaves in hot water, strain","1/2 cup, once daily",Mild sedation,"Pregnancy, breastfeeding"
Catarrh,Children,Vegetarian,Sage Tea,"Fresh sage leaves, water","Steep sage leaves in hot water, strain","1/2 cup, once daily","Dry mouth, dizziness","Pregnant women, children under 2 years old"
Catarrh,Adults,Vegetarian,Eucalyptus Steam Inhalation,"Eucalyptus oil, hot water","Add a few drops of eucalyptus oil to hot water, inhale the steam","10 minutes, as needed","Skin irritation, dizziness","Sensitive skin, asthma, under 2 years old"
Catarrh,Adults,Vegetarian,Peppermint Tea,"Fresh peppermint leaves, water","Steep peppermint leaves in hot water, strain","1 cup, once daily","Heartburn, stomach upset","GERD, acid reflux"
Catarrh,Adults,Vegetarian,Ginger Tea,"Fresh ginger, water, honey","Boil ginger in water, strain, add honey","1 cup, once daily","Stomach upset, heartburn",Blood-thinning medications
Catarrh,Adults,Vegetarian,Honey and Lemon,"Honey, lemon juice, warm water",Mix honey and lemon juice in warm water,"1 cup, once daily",None,Allergies to honey or citrus
Catarrh,Adults,Vegetarian,Chamomile Tea,"Chamomile flowers, water","Steep chamomile flowers in hot water, strain","1 cup, once daily","Drowsiness, nausea",Ragweed allergy
Catarrh,Adults,Vegetarian,Thyme Tea,"Fresh thyme, water","Steep thyme in hot water, strain","1 cup, once daily",Mild sedation,None known
Catarrh,Adults,Vegetarian,Marshmallow Root Tea,"Marshmallow root, water","Steep marshmallow root in hot water, strain","1 cup, once daily",Mild sedation,None known
Catarrh,Adults,Vegetarian,Licorice Root Tea,"Licorice root, water","Steep licorice root in hot water, strain","1 cup, once daily","High blood pressure, edema","Pregnancy, hypertension"
Catarrh,Adults,Vegetarian,Lemon Balm Tea,"Lemon balm leaves, water","Steep lemon balm leaves in hot water, strain","1 cup, once daily",Mild sedation,"Pregnancy, breastfeeding"
Catarrh,Adults,Vegetarian,Sage Tea,"Fresh sage leaves, water","Steep sage leaves in hot water, strain","1 cup, once daily","Dry mouth, dizziness","Pregnant women, children under 2 years old"
Catarrh,Seniors,Vegetarian,Eucalyptus Steam Inhalation,"Eucalyptus oil, hot water","Add a few drops of eucalyptus oil to hot water, inhale the steam","5-10 minutes, as needed","Skin irritation, dizziness","Sensitive skin, asthma, under 2 years old"
Catarrh,Seniors,Vegetarian,Peppermint Tea,"Fresh peppermint leaves, water","Steep peppermint leaves in hot water, strain","1/2 cup, once daily","Heartburn, stomach upset","GERD, acid reflux"
Catarrh,Seniors,Vegetarian,Ginger Tea,"Fresh ginger, water, honey","Boil ginger in water, strain, add honey","1/2 cup, once daily","Stomach upset, heartburn",Blood-thinning medications
Catarrh,Seniors,Vegetarian,Honey and Lemon,"Honey, lemon juice, warm water",Mix honey and lemon juice in warm water,"1/2 cup, once daily",None,Allergies to honey or citrus
Catarrh,Seniors,Vegetarian,Chamomile Tea,"Chamomile flowers, water","Steep chamomile flowers in hot water, strain","1/2 cup, once daily","Drowsiness, nausea",Ragweed allergy
Catarrh,Seniors,Vegetarian,Thyme Tea,"Fresh thyme, water","Steep thyme in hot water, strain","1/2 cup, once daily",Mild sedation,None known
Catarrh,Seniors,Vegetarian,Marshmallow Root Tea,"Marshmallow root, water","Steep marshmallow root in hot water, strain","1/2 cup, once daily",Mild sedation,None known
Catarrh,Seniors,Vegetarian,Licorice Root Tea,"Licorice root, water","Steep licorice root in hot water, strain","1/2 cup, once daily","High blood pressure, edema","Pregnancy, hypertension"
Catarrh,Seniors,Vegetarian,Lemon Balm Tea,"Lemon balm leaves, water","Steep lemon balm leaves in hot water, strain","1/2 cup, once daily",Mild sedation,"Pregnancy, breastfeeding"
